project_code,customer_code,invoice_number,email,name,status,amount,created_at,branch
PRJ-108,CUST-108,INV-108,user108@example.com,Company 108,active,100,1/1/2024,2201
PRJ-109,CUST-109,INV-109,user109@example.com,Company 109,active,100,1/1/2024,2201
PRJ-110,CUST-110,INV-110,user110@example.com,Company 110,active,100,1/1/2024,2201
PRJ-111,CUST-111,INV-111,user111@example.com,Company 111,active,100,1/1/2024,2201
PRJ-112,CUST-112,INV-112,user112@example.com,Company 112,active,100,1/1/2024,2201
PRJ-113,CUST-113,INV-113,user113@example.com,Company 113,active,100,1/1/2024,2201
PRJ-114,CUST-114,INV-114,user114@example.com,Company 114,active,100,1/1/2024,2201
PRJ-115,CUST-115,INV-115,user115@example.com,Company 115,active,100,1/1/2024,2201
PRJ-116,CUST-116,INV-116,user116@example.com,Company 116,active,100,1/1/2024,2201
PRJ-117,CUST-117,INV-117,user117@example.com,Company 117,active,100,1/1/2024,2201
PRJ-118,CUST-118,INV-118,user118@example.com,Company 118,active,100,1/1/2024,2201
PRJ-119,CUST-119,INV-119,user119@example.com,Company 119,active,100,1/1/2024,2201
PRJ-120,CUST-120,INV-120,user120@example.com,Company 120,active,100,1/1/2024,2201
PRJ-121,CUST-121,INV-121,user121@example.com,Company 121,active,100,1/1/2024,2201
PRJ-122,CUST-122,INV-122,user122@example.com,Company 122,active,100,1/1/2024,2201
PRJ-123,CUST-123,INV-123,user123@example.com,Company 123,active,100,1/1/2024,2201
PRJ-124,CUST-124,INV-124,user124@example.com,Company 124,active,100,1/1/2024,2201
PRJ-125,CUST-125,INV-125,user125@example.com,Company 125,active,100,1/1/2024,2201
PRJ-126,CUST-126,INV-126,user126@example.com,Company 126,active,100,1/1/2024,2201
PRJ-127,CUST-127,INV-127,user127@example.com,Company 127,active,100,1/1/2024,2201
PRJ-128,CUST-128,INV-128,user128@example.com,Company 128,active,100,1/1/2024,2201
PRJ-129,CUST-129,INV-129,user129@example.com,Company 129,active,100,1/1/2024,2201
PRJ-130,CUST-130,INV-130,user130@example.com,Company 130,active,100,1/1/2024,2201
PRJ-131,CUST-131,INV-131,user131@example.com,Company 131,active,100,1/1/2024,2201
PRJ-132,CUST-132,INV-132,user132@example.com,Company 132,active,100,1/1/2024,2201
PRJ-133,CUST-133,INV-133,user133@example.com,Company 133,active,100,1/1/2024,2201
PRJ-134,CUST-134,INV-134,user134@example.com,Company 134,active,100,1/1/2024,2201
PRJ-135,CUST-135,INV-135,user135@example.com,Company 135,active,100,1/1/2024,2201
PRJ-136,CUST-136,INV-136,user136@example.com,Company 136,active,100,1/1/2024,2201
PRJ-137,CUST-137,INV-137,user137@example.com,Company 137,active,100,1/1/2024,2201
PRJ-138,CUST-138,INV-138,user138@example.com,Company 138,active,100,1/1/2024,2201
PRJ-139,CUST-139,INV-139,user139@example.com,Company 139,active,100,1/1/2024,2201
PRJ-140,CUST-140,INV-140,user140@example.com,Company 140,active,100,1/1/2024,2201
PRJ-141,CUST-141,INV-141,user141@example.com,Company 141,active,100,1/1/2024,2201
PRJ-142,CUST-142,INV-142,user142@example.com,Company 142,active,100,1/1/2024,2201
PRJ-143,CUST-143,INV-143,user143@example.com,Company 143,active,100,1/1/2024,2201
PRJ-144,CUST-144,INV-144,user144@example.com,Company 144,active,100,1/1/2024,2201
PRJ-145,CUST-145,INV-145,user145@example.com,Company 145,active,100,1/1/2024,2201
PRJ-146,CUST-146,INV-146,user146@example.com,Company 146,active,100,1/1/2024,2201
PRJ-147,CUST-147,INV-147,user147@example.com,Company 147,active,100,1/1/2024,2201
PRJ-148,CUST-148,INV-148,user148@example.com,Company 148,active,100,1/1/2024,2201
PRJ-149,CUST-149,INV-149,user149@example.com,Company 149,active,100,1/1/2024,2201
PRJ-150,CUST-150,INV-150,user150@example.com,Company 150,active,100,1/1/2024,2201
PRJ-151,CUST-151,INV-151,user151@example.com,Company 151,active,100,1/1/2024,2201
PRJ-152,CUST-152,INV-152,user152@example.com,Company 152,active,100,1/1/2024,2201
PRJ-153,CUST-153,INV-153,user153@example.com,Company 153,active,100,1/1/2024,2201
PRJ-154,CUST-154,INV-154,user154@example.com,Company 154,active,100,1/1/2024,2201
PRJ-155,CUST-155,INV-155,user155@example.com,Company 155,active,100,1/1/2024,2201
PRJ-156,CUST-156,INV-156,user156@example.com,Company 156,active,100,1/1/2024,2201
PRJ-157,CUST-157,INV-157,user157@example.com,Company 157,active,100,1/1/2024,2201
PRJ-158,CUST-158,INV-158,user158@example.com,Company 158,active,100,1/1/2024,2201
PRJ-159,CUST-159,INV-159,user159@example.com,Company 159,active,100,1/1/2024,2201
PRJ-160,CUST-160,INV-160,user160@example.com,Company 160,active,100,1/1/2024,2201
PRJ-161,CUST-161,INV-161,user161@example.com,Company 161,active,100,1/1/2024,2201
PRJ-162,CUST-162,INV-162,user162@example.com,Company 162,active,100,1/1/2024,2201
PRJ-163,CUST-163,INV-163,user163@example.com,Company 163,active,100,1/1/2024,2201
PRJ-164,CUST-164,INV-164,user164@example.com,Company 164,active,100,1/1/2024,2201
PRJ-165,CUST-165,INV-165,user165@example.com,Company 165,active,100,1/1/2024,2201
PRJ-166,CUST-166,INV-166,user166@example.com,Company 166,active,100,1/1/2024,2201
PRJ-167,CUST-167,INV-167,user167@example.com,Company 167,active,100,1/1/2024,2201
PRJ-168,CUST-168,INV-168,user168@example.com,Company 168,active,100,1/1/2024,2201
PRJ-169,CUST-169,INV-169,user169@example.com,Company 169,active,100,1/1/2024,2201
PRJ-170,CUST-170,INV-170,user170@example.com,Company 170,active,100,1/1/2024,2201
PRJ-171,CUST-171,INV-171,user171@example.com,Company 171,active,100,1/1/2024,2201
PRJ-172,CUST-172,INV-172,user172@example.com,Company 172,active,100,1/1/2024,2201
PRJ-173,CUST-173,INV-173,user173@example.com,Company 173,active,100,1/1/2024,2201
PRJ-174,CUST-174,INV-174,user174@example.com,Company 174,active,100,1/1/2024,2201
PRJ-175,CUST-175,INV-175,user175@example.com,Company 175,active,100,1/1/2024,2201
PRJ-176,CUST-176,INV-176,user176@example.com,Company 176,active,100,1/1/2024,2201
PRJ-177,CUST-177,INV-177,user177@example.com,Company 177,active,100,1/1/2024,2201
PRJ-178,CUST-178,INV-178,user178@example.com,Company 178,active,100,1/1/2024,2201
PRJ-179,CUST-179,INV-179,user179@example.com,Company 179,active,100,1/1/2024,2201
PRJ-180,CUST-180,INV-180,user180@example.com,Company 180,active,100,1/1/2024,2201
PRJ-181,CUST-181,INV-181,user181@example.com,Company 181,active,100,1/1/2024,2201
PRJ-182,CUST-182,INV-182,user182@example.com,Company 182,active,100,1/1/2024,2201
PRJ-183,CUST-183,INV-183,user183@example.com,Company 183,active,100,1/1/2024,2201
PRJ-184,CUST-184,INV-184,user184@example.com,Company 184,active,100,1/1/2024,2201
PRJ-185,CUST-185,INV-185,user185@example.com,Company 185,active,100,1/1/2024,2201
PRJ-186,CUST-186,INV-186,user186@example.com,Company 186,active,100,1/1/2024,2201
PRJ-187,CUST-187,INV-187,user187@example.com,Company 187,active,100,1/1/2024,2201
PRJ-188,CUST-188,INV-188,user188@example.com,Company 188,active,100,1/1/2024,2201
PRJ-189,CUST-189,INV-189,user189@example.com,Company 189,active,100,1/1/2024,2201
PRJ-190,CUST-190,INV-190,user190@example.com,Company 190,active,100,1/1/2024,2201
PRJ-191,CUST-191,INV-191,user191@example.com,Company 191,active,100,1/1/2024,2201
PRJ-192,CUST-192,INV-192,user192@example.com,Company 192,active,100,1/1/2024,2201
PRJ-193,CUST-193,INV-193,user193@example.com,Company 193,active,100,1/1/2024,2201
PRJ-194,CUST-194,INV-194,user194@example.com,Company 194,active,100,1/1/2024,2201
PRJ-195,CUST-195,INV-195,user195@example.com,Company 195,active,100,1/1/2024,2201
PRJ-196,CUST-196,INV-196,user196@example.com,Company 196,active,100,1/1/2024,2201
PRJ-197,CUST-197,INV-197,user197@example.com,Company 197,active,100,1/1/2024,2201
PRJ-198,CUST-198,INV-198,user198@example.com,Company 198,active,100,1/1/2024,2201
PRJ-199,CUST-199,INV-199,user199@example.com,Company 199,active,100,1/1/2024,2201
WRONG-CODE,CUST-200,INV-200,user200@example.com,Company 200,active,100,1/1/2024,2201
PRJ-201,CUST-201,INV-201,user201@example.com,Company 201,active,100,1/1/2024,2201
PRJ-202,CUST-202,INV-202,user202@example.com,Company 202,active,100,1/1/2024,2201
PRJ-203,CUST-203,INV-203,user203@example.com,Company 203,active,100,1/1/2024,2201
PRJ-204,CUST-204,INV-204,user204@example.com,Company 204,active,100,1/1/2024,2201
PRJ-205,CUST-205,INV-205,user205@example.com,Company 205,active,100,1/1/2024,2201
PRJ-206,CUST-206,INV-206,user206@example.com,Company 206,active,100,1/1/2024,2201
PRJ-207,CUST-207,INV-207,user207@example.com,Company 207,active,100,1/1/2024,2201
PRJ-208,CUST-208,INV-208,user208@example.com,Company 208,active,100,1/1/2024,2201
PRJ-209,CUST-209,INV-209,user209@example.com,Company 209,active,100,1/1/2024,2201
PRJ-210,CUST-210,INV-210,user210@example.com,Company 210,active,100,1/1/2024,2201
PRJ-211,CUST-211,INV-211,user211@example.com,Company 211,active,100,1/1/2024,2201
PRJ-212,CUST-212,INV-212,user212@example.com,Company 212,active,100,1/1/2024,2201
PRJ-213,CUST-213,INV-213,user213@example.com,Company 213,active,100,1/1/2024,2201
PRJ-214,CUST-214,INV-214,user214@example.com,Company 214,active,100,1/1/2024,2201
PRJ-215,CUST-215,INV-215,user215@example.com,Company 215,active,100,1/1/2024,2201
PRJ-216,CUST-216,INV-216,user216@example.com,Company 216,active,100,1/1/2024,2201
PRJ-217,CUST-217,INV-217,user217@example.com,Company 217,active,100,1/1/2024,2201
PRJ-218,CUST-218,INV-218,user218@example.com,Company 218,active,100,1/1/2024,2201
PRJ-219,CUST-219,INV-219,user219@example.com,Company 219,active,100,1/1/2024,2201
PRJ-220,CUST-220,INV-220,user220@example.com,Company 220,active,100,1/1/2024,2201
PRJ-221,CUST-221,INV-221,user221@example.com,Company 221,active,100,1/1/2024,2201
PRJ-222,CUST-222,INV-222,user222@example.com,Company 222,active,100,1/1/2024,2201
PRJ-223,CUST-223,INV-223,user223@example.com,Company 223,active,100,1/1/2024,2201
PRJ-224,CUST-224,INV-224,user224@example.com,Company 224,active,100,1/1/2024,2201
PRJ-225,CUST-225,INV-225,user225@example.com,Company 225,active,100,1/1/2024,2201
PRJ-226,CUST-226,INV-226,user226@example.com,Company 226,active,100,1/1/2024,2201
PRJ-227,CUST-227,INV-227,user227@example.com,Company 227,active,100,1/1/2024,2201
PRJ-228,CUST-228,INV-228,user228@example.com,Company 228,active,100,1/1/2024,2201
PRJ-229,CUST-229,INV-229,user229@example.com,Company 229,active,100,1/1/2024,2201
PRJ-230,CUST-230,INV-230,user230@example.com,Company 230,active,100,1/1/2024,2201
PRJ-231,CUST-231,INV-231,user231@example.com,Company 231,active,100,1/1/2024,2201
PRJ-232,CUST-232,INV-232,user232@example.com,Company 232,active,100,1/1/2024,2201
PRJ-233,CUST-233,INV-233,user233@example.com,Company 233,active,100,1/1/2024,2201
PRJ-234,CUST-234,INV-234,user234@example.com,Company 234,active,100,1/1/2024,2201
PRJ-235,CUST-235,INV-235,user235@example.com,Company 235,active,100,1/1/2024,2201
PRJ-236,CUST-236,INV-236,user236@example.com,Company 236,active,100,1/1/2024,2201
PRJ-237,CUST-237,INV-237,user237@example.com,Company 237,active,100,1/1/2024,2201
PRJ-238,CUST-238,INV-238,user238@example.com,Company 238,active,100,1/1/2024,2201
PRJ-239,CUST-239,INV-239,user239@example.com,Company 239,active,100,1/1/2024,2201
PRJ-240,CUST-240,INV-240,user240@example.com,Company 240,active,100,1/1/2024,2201
PRJ-241,CUST-241,INV-241,user241@example.com,Company 241,active,100,1/1/2024,2201
PRJ-242,CUST-242,INV-242,user242@example.com,Company 242,active,100,1/1/2024,2201
PRJ-243,CUST-243,INV-243,user243@example.com,Company 243,active,100,1/1/2024,2201
PRJ-244,CUST-244,INV-244,user244@example.com,Company 244,active,100,1/1/2024,2201
PRJ-245,CUST-245,INV-245,user245@example.com,Company 245,active,100,1/1/2024,2201
PRJ-246,CUST-246,INV-246,user246@example.com,Company 246,active,100,1/1/2024,2201
PRJ-247,CUST-247,INV-247,user247@example.com,Company 247,active,100,1/1/2024,2201
PRJ-248,CUST-248,INV-248,user248@example.com,Company 248,active,100,1/1/2024,2201
PRJ-249,CUST-249,INV-249,user249@example.com,Company 249,active,100,1/1/2024,2201
PRJ-250,CUST-250,INV-250,user250@example.com,Company 250,active,100,1/1/2024,2201
PRJ-251,CUST-251,INV-251,user251@example.com,Company 251,active,100,1/1/2024,2201
PRJ-252,CUST-252,INV-252,user252@example.com,Company 252,active,100,1/1/2024,2201
PRJ-253,CUST-253,INV-253,user253@example.com,Company 253,active,100,1/1/2024,2201
PRJ-254,CUST-254,INV-254,user254@example.com,Company 254,active,100,1/1/2024,2201
PRJ-255,CUST-255,INV-255,user255@example.com,Company 255,active,100,1/1/2024,2201
PRJ-256,CUST-256,INV-256,user256@example.com,Company 256,active,100,1/1/2024,2201
PRJ-257,CUST-257,INV-257,user257@example.com,Company 257,active,100,1/1/2024,2201
PRJ-258,CUST-258,INV-258,user258@example.com,Company 258,active,100,1/1/2024,2201
PRJ-259,CUST-259,INV-259,user259@example.com,Company 259,active,100,1/1/2024,2201
PRJ-260,CUST-260,INV-260,user260@example.com,Company 260,active,100,1/1/2024,2201
PRJ-261,CUST-261,INV-261,user261@example.com,Company 261,active,100,1/1/2024,2201
PRJ-262,CUST-262,INV-262,user262@example.com,Company 262,active,100,1/1/2024,2201
PRJ-263,CUST-263,INV-263,user263@example.com,Company 263,active,100,1/1/2024,2201
PRJ-264,CUST-264,INV-264,user264@example.com,Company 264,active,100,1/1/2024,2201
PRJ-265,CUST-265,INV-265,user265@example.com,Company 265,active,100,1/1/2024,2201
PRJ-266,CUST-266,INV-266,user266@example.com,Company 266,active,100,1/1/2024,2201
PRJ-267,CUST-267,INV-267,user267@example.com,Company 267,active,100,1/1/2024,2201
PRJ-268,CUST-268,INV-268,user268@example.com,Company 268,active,100,1/1/2024,2201
PRJ-269,CUST-269,INV-269,user269@example.com,Company 269,active,100,1/1/2024,2201
PRJ-270,CUST-270,INV-270,user270@example.com,Company 270,active,100,1/1/2024,2201
PRJ-271,CUST-271,INV-271,user271@example.com,Company 271,active,100,1/1/2024,2201
PRJ-272,CUST-272,INV-272,user272@example.com,Company 272,active,100,1/1/2024,2201
PRJ-273,CUST-273,INV-273,user273@example.com,Company 273,active,100,1/1/2024,2201
PRJ-274,CUST-274,INV-274,user274@example.com,Company 274,active,100,1/1/2024,2201
PRJ-275,CUST-275,INV-275,user275@example.com,Company 275,active,100,1/1/2024,2201
PRJ-276,CUST-276,INV-276,user276@example.com,Company 276,active,100,1/1/2024,2201
PRJ-277,CUST-277,INV-277,user277@example.com,Company 277,active,100,1/1/2024,2201
PRJ-278,CUST-278,INV-278,user278@example.com,Company 278,active,100,1/1/2024,2201
PRJ-279,CUST-279,INV-279,user279@example.com,Company 279,active,100,1/1/2024,2201
PRJ-280,CUST-280,INV-280,user280@example.com,Company 280,active,100,1/1/2024,2201
PRJ-281,CUST-281,INV-281,user281@example.com,Company 281,active,100,1/1/2024,2201
PRJ-282,CUST-282,INV-282,user282@example.com,Company 282,active,100,1/1/2024,2201
PRJ-283,CUST-283,INV-283,user283@example.com,Company 283,active,100,1/1/2024,2201
PRJ-284,CUST-284,INV-284,user284@example.com,Company 284,active,100,1/1/2024,2201
PRJ-285,CUST-285,INV-285,user285@example.com,Company 285,active,100,1/1/2024,2201
PRJ-286,CUST-286,INV-286,user286@example.com,Company 286,active,100,1/1/2024,2201
PRJ-287,CUST-287,INV-287,user287@example.com,Company 287,active,100,1/1/2024,2201
PRJ-288,CUST-288,INV-288,user288@example.com,Company 288,active,100,1/1/2024,2201
PRJ-289,CUST-289,INV-289,user289@example.com,Company 289,active,100,1/1/2024,2201
PRJ-290,CUST-290,INV-290,user290@example.com,Company 290,active,100,1/1/2024,2201
PRJ-291,CUST-291,INV-291,user291@example.com,Company 291,active,100,1/1/2024,2201
PRJ-292,CUST-292,INV-292,user292@example.com,Company 292,active,100,1/1/2024,2201
PRJ-293,CUST-293,INV-293,user293@example.com,Company 293,active,100,1/1/2024,2201
PRJ-294,CUST-294,INV-294,user294@example.com,Company 294,active,100,1/1/2024,2201
PRJ-295,CUST-295,INV-295,user295@example.com,Company 295,active,100,1/1/2024,2201
PRJ-296,CUST-296,INV-296,user296@example.com,Company 296,active,100,1/1/2024,2201
PRJ-297,CUST-297,INV-297,user297@example.com,Company 297,active,100,1/1/2024,2201
PRJ-298,CUST-298,INV-298,user298@example.com,Company 298,active,100,1/1/2024,2201
PRJ-299,CUST-299,INV-299,user299@example.com,Company 299,active,100,1/1/2024,2201
PRJ-300,CUST-300,INV-300,user300@example.com,Company 300,suspend,5000,1/1/2024,2201
PRJ-301,CUST-301,INV-301,user301@example.com,Company 301,active,100,1/1/2024,2201
PRJ-302,CUST-302,INV-302,user302@example.com,Company 302,active,100,1/1/2024,2201
PRJ-303,CUST-303,INV-303,user303@example.com,Company 303,active,100,1/1/2024,2201
PRJ-304,CUST-304,INV-304,user304@example.com,Company 304,active,100,1/1/2024,2201
PRJ-305,CUST-305,INV-305,user305@example.com,Company 305,active,100,1/1/2024,2201
PRJ-306,CUST-306,INV-306,user306@example.com,Company 306,active,100,1/1/2024,2201
PRJ-307,CUST-307,INV-307,user307@example.com,Company 307,active,100,1/1/2024,2201
PRJ-308,CUST-308,INV-308,user308@example.com,Company 308,active,100,1/1/2024,2201
PRJ-309,CUST-309,INV-309,user309@example.com,Company 309,active,100,1/1/2024,2201
PRJ-310,CUST-310,INV-310,user310@example.com,Company 310,active,100,1/1/2024,2201
PRJ-311,CUST-311,INV-311,user311@example.com,Company 311,active,100,1/1/2024,2201
PRJ-312,CUST-312,INV-312,user312@example.com,Company 312,active,100,1/1/2024,2201
PRJ-313,CUST-313,INV-313,user313@example.com,Company 313,active,100,1/1/2024,2201
